NUSP,Turma,P2,P3,M1,Sub,MSub,Rec,M2
1,4,2.5,1.3,1.6,3.1,3.0,1.7,2.4
2,13,6.7,5.0,5.4,,5.4,,5.4
3,12,7.5,3.8,4.7,8.1,8.0,,8.0
4,8,4.2,1.9,2.5,3.1,3.4,3.3,3.4
5,9,9.2,1.9,3.7,,3.7,,1.9
6,5,8.3,1.9,3.5,0.6,3.5,1.7,2.6
7,10,7.5,4.4,5.2,,5.2,,5.2
8,8,7.5,6.3,6.6,,6.6,,6.6
9,1,1.7,,0.4,,0.4,,0.2
10,13,5.8,1.9,2.9,,3.0,,1.5
11,7,6.7,4.4,5.0,,5.0,,5.0
12,10,8.3,3.1,4.4,2.5,4.4,2.5,3.5
13,2,6.7,1.9,3.1,3.1,4.0,8.3,6.2
14,13,,,0.0,,0.0,,0.0
15,9,6.7,2.5,3.6,1.9,3.6,6.7,5.2
16,12,5.8,3.8,4.3,3.1,4.3,6.7,5.5
17,7,5.8,,1.5,,1.5,,0.8
18,6,,,0.0,,0.0,,0.0
19,5,7.5,5.0,5.6,,5.6,,5.6
20,7,5.8,3.1,3.8,2.5,3.8,,1.9
21,11,6.7,3.8,4.5,,4.5,3.3,3.9
22,13,9.2,2.5,4.2,1.9,4.2,4.2,4.2
23,5,,3.8,2.9,1.3,3.2,2.5,2.9
24,2,3.3,,0.8,,0.8,,0.4
25,4,5.0,,1.3,,1.3,,0.7
26,13,5.8,0.6,1.9,0.6,1.9,,1.0
27,5,,,0.0,,0.0,,0.0
28,11,,1.9,1.4,,1.4,,0.7
29,3,,1.9,1.4,2.5,2.1,,1.1
30,7,3.3,3.1,3.2,,3.2,2.5,2.9
31,3,5.8,2.5,3.3,1.3,3.3,2.5,2.9
32,1,6.7,1.3,2.7,1.9,3.1,3.3,3.2
33,9,5.8,4.4,4.8,3.1,4.8,1.7,3.3
34,3,4.2,1.3,2.0,4.4,4.4,6.7,5.6
35,13,5.8,3.8,4.3,5.6,5.7,,5.7
36,3,4.2,1.3,2.0,1.3,2.0,,1.0
37,3,6.7,4.4,5.0,,5.0,,5.0
38,9,8.3,6.9,7.3,,7.3,,7.3
39,5,,4.4,3.3,1.3,3.6,1.7,2.7
40,9,6.7,,1.7,3.1,4.0,,2.0
41,8,4.2,,1.1,3.1,3.4,,1.7
42,8,,,0.0,,0.0,,0.0
43,3,4.2,1.3,2.0,3.8,3.9,3.3,3.6
44,3,8.3,9.4,9.1,,9.1,,9.1
45,10,9.2,3.1,4.6,4.4,5.6,,5.6
46,6,7.5,1.3,2.9,0.6,3.0,,1.5
47,2,7.5,3.1,4.2,1.9,4.2,4.2,4.2
48,1,5.8,3.1,3.8,1.9,3.8,5.0,4.4
49,5,5.8,5.6,5.7,,5.7,,5.7
50,6,7.5,5.6,6.1,,6.1,,6.1
51,6,7.5,4.4,5.2,,5.2,,5.2
52,1,,,0.0,,0.0,,0.0
53,4,8.3,2.5,4.0,,4.0,2.5,3.3
54,6,7.5,3.8,4.7,1.9,4.7,3.3,4.0
55,13,5.0,,1.3,3.8,4.1,,2.1
56,13,4.2,2.5,2.9,1.9,3.0,5.8,4.4
57,1,0.8,,0.2,,0.2,,0.1
58,5,0.8,,0.2,1.3,1.2,,0.6
59,13,,,0.0,2.5,1.9,,1.0
60,13,3.3,3.8,3.7,,3.7,,1.9
61,13,5.8,5.6,5.7,,5.7,,5.7
62,5,6.7,5.0,5.4,,5.4,,5.4
63,9,7.5,1.9,3.3,,3.3,,1.7
64,5,4.2,1.9,2.5,0.6,2.5,,1.3
65,2,7.5,1.3,2.9,3.1,4.2,4.2,4.2
66,6,5.8,2.5,3.3,,3.3,,1.7
67,12,6.7,4.4,5.0,,5.0,,5.0
68,13,1.7,1.3,1.4,,1.4,,0.7
69,6,2.5,,0.6,1.9,2.1,,1.1
70,2,7.5,2.5,3.8,0.6,3.8,,1.9
71,8,2.5,3.1,3.0,2.5,3.0,2.5,2.8
72,4,6.7,,1.7,,1.7,,0.9
73,2,,,0.0,,0.0,,0.0
74,3,5.0,0.6,1.7,,1.7,,0.9
75,13,8.3,2.5,4.0,1.9,4.0,5.8,4.9
76,3,5.0,3.1,3.6,3.8,4.1,3.3,3.7
77,1,5.8,5.0,5.2,,5.2,,5.2
78,1,,3.1,2.3,1.9,2.8,,1.4
79,2,5.0,3.1,3.6,3.8,4.1,3.3,3.7
80,11,4.2,1.3,2.0,1.9,2.5,,1.3
81,10,7.5,3.8,4.7,3.8,4.7,8.3,6.5
82,12,8.3,0.0,2.1,2.5,4.0,2.5,3.3
83,8,6.7,3.8,4.5,6.3,6.4,,6.4
84,8,7.5,2.5,3.8,3.8,4.7,3.3,4.0
85,7,5.8,0.6,1.9,1.9,3.0,3.3,3.2
86,5,8.3,4.4,5.4,,5.4,,5.4
87,5,,1.3,1.0,,1.0,,0.5
88,7,7.5,2.5,3.8,2.5,3.8,4.2,4.0
89,3,3.3,6.3,5.6,,5.6,,5.6
90,4,9.2,4.4,5.6,,5.6,,5.6
91,1,10.0,3.8,5.4,,5.4,,5.4
92,11,8.3,4.4,5.4,,5.4,,5.4
93,6,7.5,2.5,3.8,3.8,4.7,7.5,6.1
94,10,4.2,,1.1,3.1,3.4,2.5,3.0
95,8,7.5,3.1,4.2,6.9,7.1,,7.1
96,12,7.5,2.5,3.8,1.9,3.8,5.8,4.8
97,12,,,0.0,,0.0,,0.0
98,7,,,0.0,,0.0,,0.0
99,12,2.5,,0.6,,0.6,,0.3
100,7,,,0.0,,0.0,,0.0
101,9,8.3,,2.1,5.6,6.3,,6.3
102,13,6.7,3.1,4.0,3.8,4.5,6.7,5.6
103,3,5.8,,1.5,,1.5,,0.8
104,11,3.3,1.3,1.8,2.5,2.7,,1.4
105,6,2.5,1.9,2.1,5.0,4.4,5.8,5.1
106,8,2.5,2.5,2.5,2.5,2.5,,1.3
107,1,6.7,3.1,4.0,4.4,5.0,,5.0
108,4,5.8,3.1,3.8,,3.8,2.5,3.2
109,1,8.3,5.6,6.3,,6.3,,6.3
110,7,8.3,1.9,3.5,3.1,4.4,3.3,3.9
111,4,,,0.0,,0.0,,0.0
112,4,7.5,,1.9,,1.9,,1.0
113,10,4.2,0.6,1.5,1.9,2.5,,1.3
114,13,5.0,,1.3,1.9,2.7,,1.4
115,6,5.8,1.9,2.9,2.5,3.3,,1.7
116,3,3.3,3.8,3.7,1.9,3.7,1.7,2.7
117,11,4.2,2.5,2.9,,3.0,,1.5
118,9,4.2,1.9,2.5,3.8,3.9,5.0,4.5
119,4,6.7,3.1,4.0,3.1,4.0,2.5,3.3
120,8,7.5,4.4,5.2,,5.2,,5.2
121,6,5.0,2.5,3.1,0.6,3.1,4.2,3.7
122,9,7.5,2.5,3.8,1.9,3.8,2.5,3.2
123,9,3.3,1.3,1.8,,1.8,,0.9
124,4,0.8,,0.2,,0.2,,0.1
125,10,9.2,6.3,7.0,,7.0,,7.0
126,1,9.2,2.5,4.2,,4.2,,2.1
127,12,9.2,1.3,3.3,3.8,5.2,,5.2
128,2,6.7,6.3,6.4,,6.4,,6.4
129,1,7.5,1.3,2.9,2.5,3.8,9.2,6.5
130,1,8.3,,2.1,3.1,4.4,7.5,6.0
131,13,2.5,,0.6,,0.6,,0.3
132,1,1.7,4.4,3.7,1.9,3.8,6.7,5.3
133,2,1.7,2.5,2.3,,2.3,,1.2
134,4,8.3,6.9,7.3,,7.3,,7.3
135,7,6.7,5.0,5.4,,5.4,,5.4
136,6,,,0.0,1.3,1.3,,0.7
137,2,9.2,8.8,8.9,,8.9,,8.9
138,3,7.5,6.9,7.1,,7.1,,7.1
139,4,7.5,3.1,4.2,1.9,4.2,5.0,4.6
140,10,4.2,3.8,3.9,,3.9,4.2,4.1
141,10,2.5,3.1,3.0,,3.0,,1.5
142,2,4.2,,1.1,,1.1,,0.6
143,4,3.3,3.1,3.2,3.8,3.7,7.5,5.6
144,4,7.5,3.8,4.7,2.5,4.7,5.8,5.3
145,5,7.5,4.4,5.2,,5.2,,5.2
146,1,0.8,4.4,3.5,,3.5,,1.8
147,8,6.7,3.8,4.5,1.9,4.5,3.3,3.9
148,1,5.8,4.4,4.8,,4.8,,2.4
149,11,8.3,1.9,3.5,1.9,3.5,,1.8
150,4,6.7,3.1,4.0,1.9,4.0,7.5,5.8
151,4,4.2,3.1,3.4,1.9,3.4,1.7,2.6
152,8,8.3,1.9,3.5,3.1,4.4,,2.2
153,4,6.7,1.3,2.7,1.3,2.7,,1.4
154,7,3.3,3.1,3.2,0.6,3.2,2.5,2.9
155,1,5.8,3.8,4.3,,4.3,,2.2
156,10,5.0,3.8,4.1,3.8,4.1,10.0,7.1
157,5,9.2,1.3,3.3,0.0,3.3,4.2,3.8
158,12,3.3,3.8,3.7,3.1,3.7,5.8,4.8
159,12,5.8,3.1,3.8,2.5,3.8,2.5,3.2
160,3,3.3,2.5,2.7,3.1,3.2,1.7,2.5
161,13,,,0.0,,0.0,,0.0
162,2,7.5,1.3,2.9,3.1,4.2,5.8,5.0
163,9,5.8,4.4,4.8,5.6,5.7,,5.7
164,2,7.5,5.6,6.1,,6.1,,6.1
165,13,5.0,,1.3,1.3,2.2,,1.1
166,9,5.0,1.9,2.7,,2.7,,1.4
167,10,7.5,0.6,2.3,3.8,4.7,7.5,6.1
168,6,5.8,3.1,3.8,2.5,3.8,3.3,3.6
169,10,3.3,4.4,4.1,,4.1,,2.1
170,13,4.2,,1.1,3.1,3.4,,1.7
171,11,3.3,,0.8,0.0,0.8,,0.4
172,11,,,0.0,3.8,3.0,3.3,3.2
173,12,3.3,0.6,1.3,1.3,1.8,,0.9
174,6,7.5,,1.9,2.5,3.8,3.3,3.6
175,5,6.7,3.8,4.5,,4.5,8.3,6.4
176,9,4.2,3.8,3.9,6.3,5.8,,5.8
177,3,8.3,6.3,6.8,,6.8,,6.8
178,4,5.8,1.9,2.9,3.8,4.3,5.0,4.7
179,3,4.2,,1.1,2.5,3.0,3.3,3.2
180,3,8.3,1.9,3.5,2.5,4.0,2.5,3.3
181,12,2.5,,0.6,2.5,2.5,,1.3
182,2,5.0,1.9,2.7,2.5,3.1,4.2,3.7
183,3,7.5,1.3,2.9,5.0,5.6,,5.6
184,10,8.3,5.0,5.8,,5.8,,5.8
185,3,6.7,2.5,3.6,5.6,5.9,,5.9
186,1,2.5,3.1,3.0,1.9,3.0,,1.5
187,10,6.7,6.3,6.4,,6.4,,6.4
188,6,8.3,3.8,5.0,,5.0,,5.0
189,9,5.8,3.1,3.8,3.8,4.3,4.2,4.3
190,10,6.7,2.5,3.6,4.4,5.0,,5.0
191,4,6.7,3.1,4.0,5.0,5.4,,5.4
192,4,7.5,5.0,5.6,,5.6,,5.6
193,6,7.5,1.9,3.3,1.9,3.3,,1.7
194,8,5.8,8.1,7.5,,7.5,,7.5
195,12,8.3,6.9,7.3,,7.3,,7.3
196,7,5.8,5.0,5.2,,5.2,,5.2
197,8,10.0,9.4,9.6,,9.6,,9.6
198,8,8.3,9.4,9.1,,9.1,,9.1
199,11,8.3,5.6,6.3,,6.3,,6.3
200,11,7.5,7.5,7.5,,7.5,,7.5
201,1,6.7,9.4,8.7,,8.7,,8.7
202,11,6.7,2.5,3.6,5.0,5.4,,5.4
203,11,10.0,7.5,8.1,,8.1,,8.1
204,2,8.3,9.4,9.1,,9.1,,9.1
205,7,3.3,9.4,7.9,,7.9,,7.9
206,1,9.2,6.3,7.0,,7.0,,7.0
207,11,9.2,7.5,7.9,,7.9,,7.9
208,1,10.0,8.8,9.1,,9.1,,9.1
209,7,7.5,7.5,7.5,,7.5,,7.5
210,1,9.2,5.6,6.5,,6.5,,6.5
211,11,8.3,6.9,7.3,,7.3,,7.3
212,11,3.3,4.4,4.1,1.9,4.1,2.5,3.3
213,11,7.5,7.5,7.5,,7.5,,7.5
214,1,7.5,6.3,6.6,,6.6,,6.6
215,2,9.2,4.4,5.6,,5.6,,5.6
216,12,7.5,6.3,6.6,,6.6,,6.6
217,7,5.8,4.4,4.8,8.1,7.5,,7.5
218,7,1.7,7.5,6.1,,6.1,,6.1
219,1,10.0,6.9,7.7,,7.7,,7.7
220,2,10.0,5.6,6.7,,6.7,,6.7
221,12,7.5,3.1,4.2,3.8,4.7,2.5,3.6
222,11,8.3,4.4,5.4,,5.4,,5.4
223,11,10.0,6.9,7.7,,7.7,,7.7
224,3,9.2,7.5,7.9,,7.9,,7.9
225,1,8.3,7.5,7.7,,7.7,,7.7
226,11,7.5,5.6,6.1,,6.1,,6.1
227,8,6.7,5.0,5.4,,5.4,,5.4
228,1,9.2,6.3,7.0,,7.0,,7.0
229,11,9.2,2.5,4.2,4.4,5.6,,5.6
230,7,7.5,5.6,6.1,,6.1,,6.1
231,12,8.3,7.5,7.7,,7.7,,7.7
232,11,6.7,,1.7,5.6,5.9,,5.9
233,7,7.5,8.1,8.0,,8.0,,8.0
234,1,8.3,3.1,4.4,5.6,6.3,,6.3
235,1,7.5,5.6,6.1,,6.1,,6.1
236,1,5.8,3.8,4.3,3.1,4.3,8.3,6.3
237,7,7.5,,1.9,4.4,5.2,,5.2
238,9,10.0,8.8,9.1,,9.1,,9.1
239,5,4.2,5.6,5.3,,5.3,,5.3
240,11,5.0,3.8,4.1,3.1,4.1,5.8,5.0
241,4,9.2,5.0,6.1,,6.1,,6.1
242,9,8.3,5.0,5.8,,5.8,,5.8
243,11,5.8,,1.5,2.5,3.3,3.3,3.3
244,1,9.2,10.0,9.8,,9.8,,9.8
245,8,6.7,3.8,4.5,1.9,4.5,,2.3
246,2,7.5,8.1,8.0,,8.0,,8.0
247,1,7.5,0.6,2.3,3.8,4.7,0.0,2.4
248,1,8.3,2.5,4.0,5.0,5.8,,5.8
249,7,6.7,5.6,5.9,,5.9,,5.9
250,11,5.8,3.8,4.3,,4.3,,2.2
251,11,7.5,6.3,6.6,,6.6,,6.6
252,11,8.3,3.8,5.0,,5.0,,5.0
253,12,9.2,5.6,6.5,,6.5,,6.5
254,12,8.3,3.1,4.4,5.6,6.3,,6.3
255,1,7.5,3.1,4.2,6.9,7.1,,7.1
256,8,8.3,4.4,5.4,,5.4,,5.4
257,1,4.2,3.8,3.9,2.5,3.9,7.5,5.7
258,6,10.0,2.5,4.4,2.5,4.4,5.0,4.7
259,7,5.8,2.5,3.3,3.1,3.8,5.0,4.4
260,3,5.0,3.8,4.1,3.1,4.1,3.3,3.7
261,12,6.7,3.1,4.0,4.4,5.0,,5.0
262,1,8.3,8.1,8.2,,8.2,,8.2
263,1,10.0,10.0,10.0,,10.0,,10.0
264,1,6.7,4.4,5.0,,5.0,,5.0
265,12,9.2,5.6,6.5,,6.5,,6.5
266,1,5.8,3.1,3.8,6.3,6.2,,6.2
267,4,4.2,6.9,6.2,,6.2,,6.2
268,7,7.5,5.6,6.1,,6.1,,6.1
269,12,5.8,3.8,4.3,2.5,4.3,3.3,3.8
270,1,10.0,5.0,6.3,,6.3,,6.3
271,7,7.5,5.6,6.1,,6.1,,6.1
272,1,6.7,5.0,5.4,,5.4,,5.4
273,7,8.3,3.1,4.4,2.5,4.4,9.2,6.8
274,1,5.0,3.8,4.1,3.8,4.1,6.7,5.4
275,1,10.0,3.8,5.4,,5.4,,5.4
276,3,6.7,5.6,5.9,,5.9,,5.9
277,3,8.3,1.3,3.1,3.1,4.4,5.8,5.1
278,8,6.7,6.3,6.4,,6.4,,6.4
279,1,6.7,4.4,5.0,,5.0,,5.0
280,2,9.2,6.3,7.0,,7.0,,7.0
281,1,5.0,3.8,4.1,6.9,6.4,,6.4
282,1,5.0,3.1,3.6,5.0,5.0,,5.0
283,12,9.2,3.8,5.2,,5.2,,5.2
284,7,5.8,1.3,2.4,6.9,6.6,,6.6
285,8,9.2,6.9,7.5,,7.5,,7.5
286,3,5.0,5.6,5.5,,5.5,,5.5
287,8,5.8,6.9,6.6,,6.6,,6.6
288,8,9.2,3.1,4.6,6.3,7.0,,7.0
289,2,6.7,,1.7,7.5,7.3,,7.3
290,9,10.0,6.3,7.2,,7.2,,7.2
291,11,4.2,1.9,2.5,1.9,2.5,,1.3
292,7,9.2,2.5,4.2,,4.2,,2.1
293,7,10.0,1.9,3.9,1.3,3.9,,2.0
294,12,7.5,3.8,4.7,5.0,5.6,,5.6
295,2,6.7,3.8,4.5,0.6,4.5,3.3,3.9
296,3,6.7,6.3,6.4,,6.4,,6.4
297,7,8.3,1.3,3.1,3.8,5.0,,5.0
298,11,5.8,6.9,6.6,,6.6,,6.6
299,12,5.8,1.9,2.9,5.0,5.2,,5.2
300,11,6.7,5.0,5.4,,5.4,,5.4
301,3,7.5,5.6,6.1,,6.1,,6.1
302,11,5.0,1.3,2.2,2.5,3.1,3.3,3.2
303,11,9.2,5.0,6.1,,6.1,,6.1
304,5,8.3,3.1,4.4,5.0,5.8,,5.8
305,11,6.7,5.0,5.4,,5.4,,5.4
306,7,7.5,3.8,4.7,2.5,4.7,4.2,4.5
307,11,8.3,3.1,4.4,6.3,6.8,,6.8
308,11,9.2,5.0,6.1,,6.1,,6.1
309,2,8.3,3.8,5.0,,5.0,,5.0
310,3,7.5,9.4,8.9,,8.9,,8.9
311,11,7.5,6.3,6.6,,6.6,,6.6
312,4,8.3,6.3,6.8,,6.8,,6.8
313,2,6.7,3.8,4.5,7.5,7.3,,7.3
314,9,9.2,5.0,6.1,,6.1,,6.1
315,3,8.3,2.5,4.0,8.8,8.7,,8.7
316,12,7.5,4.4,5.2,,5.2,,5.2
317,12,9.2,6.9,7.5,,7.5,,7.5
318,2,7.5,4.4,5.2,,5.2,,5.2
319,11,7.5,3.1,4.2,2.5,4.2,5.8,5.0
320,8,3.3,1.9,2.3,3.1,3.2,3.3,3.3
321,12,5.0,4.4,4.6,5.6,5.5,,5.5
322,12,8.3,3.8,5.0,,5.0,,5.0
323,8,4.2,,1.1,,1.1,,0.6
324,2,8.3,,2.1,1.3,3.1,,1.6
325,12,6.7,6.3,6.4,,6.4,,6.4
326,12,5.0,2.5,3.1,5.6,5.5,,5.5
327,10,6.7,7.5,7.3,,7.3,,7.3
328,6,3.3,4.4,4.1,1.9,4.1,6.7,5.4
329,2,2.5,,0.6,3.8,3.5,3.3,3.4
330,8,7.5,4.4,5.2,,5.2,,5.2
331,5,7.5,2.5,3.8,3.1,4.2,5.0,4.6
332,3,7.5,6.9,7.1,,7.1,,7.1
333,2,6.7,0.6,2.1,4.4,5.0,,5.0
334,8,5.8,5.0,5.2,,5.2,,5.2
335,8,8.3,6.3,6.8,,6.8,,6.8
336,8,8.3,3.8,5.0,,5.0,,5.0
337,3,6.7,3.8,4.5,7.5,7.3,,7.3
338,2,8.3,2.5,4.0,2.5,4.0,,2.0
339,3,7.5,6.3,6.6,,6.6,,6.6
340,9,7.5,1.9,3.3,0.6,3.3,,1.7
341,8,7.5,4.4,5.2,,5.2,,5.2
342,12,6.7,4.4,5.0,,5.0,,5.0
343,2,9.2,6.3,7.0,,7.0,,7.0
344,3,10.0,7.5,8.1,,8.1,,8.1
345,2,7.5,1.9,3.3,3.1,4.2,4.2,4.2
346,2,7.5,1.9,3.3,5.0,5.6,,5.6
347,2,6.7,5.0,5.4,,5.4,,5.4
348,12,5.0,5.6,5.5,,5.5,,5.5
349,2,8.3,2.5,4.0,1.3,4.0,5.0,4.5
350,4,7.5,3.1,4.2,3.8,4.7,5.0,4.9
351,9,7.5,2.5,3.8,5.0,5.6,,5.6
352,3,9.2,3.8,5.2,,5.2,,5.2
353,2,7.5,3.8,4.7,5.0,5.6,,5.6
354,2,5.8,1.9,2.9,5.0,5.2,,5.2
355,2,6.7,4.4,5.0,,5.0,,5.0
356,9,6.7,6.3,6.4,,6.4,,6.4
357,2,5.8,2.5,3.3,3.1,3.8,4.2,4.0
358,3,8.3,5.0,5.8,,5.8,,5.8
359,3,10.0,3.1,4.8,5.6,6.7,,6.7
360,10,5.8,6.3,6.2,,6.2,,6.2
361,9,6.7,3.1,4.0,6.3,6.4,,6.4
362,11,5.8,3.1,3.8,6.3,6.2,,6.2
363,4,4.2,4.4,4.4,4.4,4.4,7.5,6.0
364,3,,,0.0,,0.0,,0.0
365,7,5.8,5.6,5.7,,5.7,,5.7
366,6,7.5,3.1,4.2,3.8,4.7,6.7,5.7
367,5,5.0,2.5,3.1,3.8,4.1,,2.1
368,9,3.3,3.8,3.7,3.1,3.7,5.8,4.8
369,9,6.7,5.6,5.9,,5.9,,5.9
370,3,6.7,4.4,5.0,,5.0,,5.0
371,3,5.8,5.0,5.2,,5.2,,5.2
372,10,5.0,5.0,5.0,,5.0,,5.0
373,2,6.7,3.8,4.5,5.0,5.4,,5.4
374,9,5.8,5.0,5.2,,5.2,,5.2
375,9,8.3,7.5,7.7,,7.7,,7.7
376,2,8.3,5.6,6.3,,6.3,,6.3
377,9,6.7,4.4,5.0,,5.0,,5.0
378,9,3.3,1.9,2.3,5.6,5.0,,5.0
379,9,6.7,3.1,4.0,2.5,4.0,6.7,5.4
380,2,7.5,3.1,4.2,7.5,7.5,,7.5
381,9,5.8,2.5,3.3,0.0,3.3,3.3,3.3
382,2,10.0,3.1,4.8,6.3,7.2,,7.2
383,4,5.8,8.8,8.1,,8.1,,8.1
384,3,9.2,6.3,7.0,,7.0,,7.0
385,11,5.8,1.3,2.4,3.1,3.8,3.3,3.6
386,9,2.5,3.1,3.0,1.9,3.0,3.3,3.2
387,6,5.8,1.3,2.4,2.5,3.3,3.3,3.3
388,5,4.2,2.5,2.9,1.9,3.0,4.2,3.6
389,4,5.8,5.0,5.2,,5.2,,5.2
390,4,7.5,5.0,5.6,,5.6,,5.6
391,10,5.0,3.1,3.6,,3.6,1.7,2.7
392,3,6.7,4.4,5.0,,5.0,,5.0
393,2,8.3,6.3,6.8,,6.8,,6.8
394,3,2.5,1.3,1.6,2.5,2.5,,1.3
395,6,8.3,3.8,5.0,,5.0,,5.0
396,4,5.8,5.6,5.7,,5.7,,5.7
397,10,6.7,3.8,4.5,5.6,5.9,,5.9
398,4,10.0,4.4,5.8,,5.8,,5.8
399,9,8.3,4.4,5.4,,5.4,,5.4
400,5,9.2,6.9,7.5,,7.5,,7.5
401,6,7.5,1.3,2.9,0.6,3.0,2.5,2.8
402,1,6.7,5.6,5.9,,5.9,,5.9
403,9,5.8,3.8,4.3,,4.3,,2.2
404,4,6.7,2.5,3.6,3.1,4.0,3.3,3.7
405,5,7.5,4.4,5.2,,5.2,,5.2
406,5,6.7,4.4,5.0,,5.0,,5.0
407,4,7.5,5.0,5.6,,5.6,,5.6
408,9,5.0,2.5,3.1,1.9,3.1,,1.6
409,4,8.3,2.5,4.0,5.0,5.8,,5.8
410,5,9.2,2.5,4.2,3.8,5.2,,5.2
411,10,4.2,3.8,3.9,5.0,4.8,5.0,4.9
412,12,7.5,2.5,3.8,2.5,3.8,3.3,3.6
413,4,6.7,2.5,3.6,5.6,5.9,,5.9
414,4,5.8,3.1,3.8,3.1,3.8,,1.9
415,5,6.7,3.1,4.0,3.1,4.0,5.8,4.9
416,10,7.5,2.5,3.8,5.0,5.6,,5.6
417,4,3.3,5.0,4.6,2.5,4.6,4.2,4.4
418,12,9.2,4.4,5.6,,5.6,,5.6
419,6,6.7,2.5,3.6,5.6,5.9,,5.9
420,9,7.5,6.3,6.6,,6.6,,6.6
421,4,6.7,2.5,3.6,3.8,4.5,1.7,3.1
422,2,5.8,3.8,4.3,5.0,5.2,,5.2
423,5,5.0,3.8,4.1,4.4,4.6,,2.3
424,4,5.8,3.8,4.3,3.1,4.3,2.5,3.4
425,6,7.5,1.3,2.9,3.8,4.7,2.5,3.6
426,10,6.7,4.4,5.0,,5.0,,5.0
427,10,8.3,,2.1,4.4,5.4,,5.4
428,2,8.3,3.8,5.0,,5.0,,5.0
429,6,8.3,3.1,4.4,1.3,4.4,2.5,3.5
430,4,9.2,2.5,4.2,4.4,5.6,,5.6
431,10,5.8,1.3,2.4,2.5,3.3,5.8,4.6
432,10,2.5,5.6,4.8,4.4,5.3,,5.3
433,10,6.7,3.1,4.0,2.5,4.0,5.0,4.5
434,10,6.7,1.3,2.7,3.8,4.5,4.2,4.4
435,10,6.7,4.4,5.0,,5.0,,5.0
436,10,5.8,4.4,4.8,5.0,5.2,,5.2
437,10,3.3,3.8,3.7,3.8,3.8,3.3,3.6
438,1,6.7,4.4,5.0,,5.0,,5.0
439,11,8.3,2.5,4.0,3.8,5.0,,5.0
