NUSP,Turma,P2,P3,M1,Sub,MSub,Rec,M2
440,2,9.2,3.8,5.2,,5.2,,5.2
441,1,6.7,3.8,4.5,3.1,4.5,5.8,5.2
442,1,6.7,1.9,3.1,6.3,6.4,,6.4
443,1,8.3,5.6,6.3,,6.3,,6.3
444,1,8.3,3.8,5.0,,5.0,,5.0
445,8,7.5,4.4,5.2,,5.2,,5.2
446,1,7.5,3.8,4.7,8.1,8.0,,8.0
447,12,5.0,6.9,6.4,,6.4,,6.4
448,5,8.3,9.4,9.1,,9.1,,9.1
449,1,6.7,4.4,5.0,,5.0,,5.0
450,3,8.3,5.0,5.8,,5.8,,5.8
451,11,4.2,3.1,3.4,4.4,4.4,3.3,3.9
452,1,3.3,1.9,2.3,,2.3,,1.2
453,12,5.8,5.6,5.7,,5.7,,5.7
454,12,7.5,1.3,2.9,5.0,5.6,,5.6
455,8,3.3,3.8,3.7,3.1,3.7,7.5,5.6
456,1,10.0,4.4,5.8,,5.8,,5.8
457,5,7.5,1.9,3.3,,3.3,,1.7
458,8,6.7,2.5,3.6,1.9,3.6,5.8,4.7
459,4,5.0,5.0,5.0,,5.0,,5.0
460,12,5.0,3.8,4.1,3.8,4.1,6.7,5.4
461,3,7.5,4.4,5.2,,5.2,,5.2
462,7,5.8,1.9,2.9,1.9,3.0,,1.5
463,4,7.5,3.1,4.2,5.0,5.6,,5.6
464,2,9.2,2.5,4.2,3.1,4.6,1.7,3.2
465,11,6.7,2.5,3.6,2.5,3.6,3.3,3.5
466,8,5.0,2.5,3.1,2.5,3.1,4.2,3.7
467,8,9.2,3.1,4.6,4.4,5.6,,5.6
468,7,8.3,3.8,5.0,,5.0,,5.0
469,1,5.8,6.3,6.2,,6.2,,6.2
470,7,8.3,4.4,5.4,,5.4,,5.4
471,8,5.0,3.8,4.1,5.6,5.5,,5.5
472,1,6.7,2.5,3.6,4.4,5.0,,5.0
473,7,4.2,3.8,3.9,1.9,3.9,5.0,4.5
474,1,6.7,5.0,5.4,,5.4,,5.4
475,3,8.3,1.3,3.1,2.5,4.0,5.8,4.9
476,3,7.5,3.1,4.2,3.8,4.7,7.5,6.1
477,1,5.8,3.8,4.3,2.5,4.3,5.8,5.1
478,3,6.7,5.0,5.4,,5.4,,5.4
479,6,6.7,3.1,4.0,7.5,7.3,,7.3
480,2,9.2,5.6,6.5,,6.5,,6.5
481,1,7.5,5.0,5.6,,5.6,,5.6
482,7,7.5,0.6,2.3,3.8,4.7,,2.4
483,4,4.2,1.9,2.5,1.3,2.5,,1.3
484,8,3.3,2.5,2.7,3.1,3.2,3.3,3.3
485,5,7.5,3.1,4.2,2.5,4.2,4.2,4.2
486,7,8.3,4.4,5.4,,5.4,,5.4
487,1,3.3,2.5,2.7,3.8,3.7,6.7,5.2
488,4,8.3,5.0,5.8,,5.8,,5.8
489,1,3.3,4.4,4.1,2.5,4.1,1.7,2.9
490,6,8.3,3.1,4.4,0.6,4.4,4.2,4.3
491,7,6.7,2.5,3.6,1.9,3.6,2.5,3.1
492,12,4.2,5.0,4.8,8.1,7.1,,7.1
493,12,5.8,1.3,2.4,3.1,3.8,5.8,4.8
494,8,6.7,3.1,4.0,3.8,4.5,6.7,5.6
495,11,8.3,3.1,4.4,3.8,5.0,,5.0
496,1,6.7,3.1,4.0,3.1,4.0,8.3,6.2
497,3,8.3,4.4,5.4,,5.4,,5.4
498,2,6.7,2.5,3.6,3.8,4.5,8.3,6.4
499,7,8.3,6.3,6.8,,6.8,,6.8
500,2,2.5,1.9,2.1,2.5,2.5,,1.3
501,11,7.5,4.4,5.2,,5.2,,5.2
502,7,8.3,1.9,3.5,3.8,5.0,,5.0
503,11,7.5,1.3,2.9,3.1,4.2,0.8,2.5
504,3,8.3,5.0,5.8,,5.8,,5.8
505,8,7.5,5.6,6.1,,6.1,,6.1
506,3,5.8,1.9,2.9,4.4,4.8,5.8,5.3
507,4,5.8,2.5,3.3,3.8,4.3,5.8,5.1
508,4,6.7,4.4,5.0,,5.0,,5.0
509,7,5.8,3.8,4.3,3.8,4.3,5.8,5.1
510,2,,,0.0,,0.0,,0.0
511,3,5.8,4.4,4.8,3.1,4.8,4.2,4.5
512,12,5.0,3.1,3.6,3.8,4.1,6.7,5.4
513,12,6.7,5.6,5.9,,5.9,,5.9
514,4,4.2,5.0,4.8,6.3,5.8,,5.8
515,7,5.8,3.8,4.3,3.1,4.3,6.7,5.5
516,5,5.8,3.8,4.3,2.5,4.3,0.8,2.6
517,6,3.3,3.8,3.7,1.9,3.7,,1.9
518,7,8.3,3.1,4.4,2.5,4.4,7.5,6.0
519,4,10.0,3.8,5.4,,5.4,,5.4
520,9,8.3,2.5,4.0,1.9,4.0,1.7,2.9
521,3,9.2,4.4,5.6,,5.6,,5.6
522,10,7.5,3.1,4.2,4.4,5.2,,5.2
523,8,3.3,4.4,4.1,3.8,4.3,5.8,5.1
524,3,8.3,1.3,3.1,3.1,4.4,3.3,3.9
525,3,10.0,6.3,7.2,,7.2,,7.2
526,3,4.2,3.8,3.9,3.8,3.9,2.5,3.2
527,2,8.3,5.0,5.8,,5.8,,5.8
528,12,,,0.0,,0.0,,0.0
529,3,5.8,3.8,4.3,5.0,5.2,,5.2
530,8,7.5,4.4,5.2,,5.2,,5.2
531,3,5.8,7.5,7.1,,7.1,,7.1
532,9,8.3,1.9,3.5,,3.5,,1.8
533,2,7.5,3.8,4.7,2.5,4.7,3.3,4.0
534,12,5.0,2.5,3.1,1.9,3.1,5.0,4.1
535,5,5.8,3.1,3.8,2.5,3.8,3.3,3.6
536,9,7.5,3.1,4.2,5.0,5.6,,5.6
537,9,2.5,3.1,3.0,3.1,3.1,,1.6
538,2,0.8,3.1,2.5,4.2,3.4,,1.7
539,12,7.5,2.5,3.8,1.9,3.8,5.8,4.8
540,11,8.3,2.5,4.0,3.1,4.4,5.0,4.7
541,4,7.5,2.5,3.8,5.6,6.1,,6.1
542,3,,,0.0,,0.0,,0.0
543,12,6.7,4.4,5.0,,5.0,,5.0
544,10,7.5,4.4,5.2,,5.2,,5.2
545,3,6.7,2.5,3.6,1.9,3.6,4.2,3.9
546,3,8.3,3.8,5.0,,5.0,,5.0
547,2,7.5,1.3,2.9,1.9,3.3,,1.7
548,2,6.7,3.8,4.5,2.5,4.5,4.2,4.4
549,6,5.8,2.5,3.3,5.0,5.2,,5.2
550,9,6.7,3.1,4.0,3.8,4.5,,2.3
551,12,6.7,2.5,3.6,3.1,4.0,2.5,3.3
552,5,4.2,6.9,6.2,,6.2,,6.2
553,2,5.8,1.9,2.9,1.9,3.0,2.5,2.8
554,11,6.7,3.1,4.0,3.1,4.0,7.5,5.8
555,11,5.8,3.1,3.8,0.6,3.8,2.5,3.2
556,4,2.5,,0.6,,0.6,,0.3
557,11,6.7,2.5,3.6,3.8,4.5,3.3,3.9
558,9,8.3,3.8,5.0,,5.0,,5.0
559,5,6.7,5.0,5.4,,5.4,,5.4
560,4,,,0.0,,0.0,,0.0
561,9,5.8,3.8,4.3,1.9,4.3,5.0,4.7
562,4,10.0,3.1,4.8,1.3,4.8,6.7,5.8
563,12,7.5,3.8,4.7,5.6,6.1,,6.1
564,9,6.7,3.1,4.0,2.5,4.0,5.8,4.9
565,9,7.5,1.3,2.9,0.6,3.0,,1.5
566,9,4.2,5.0,4.8,3.1,4.8,,2.4
567,5,5.8,3.8,4.3,4.4,4.8,0.8,2.8
568,4,8.3,2.5,4.0,2.5,4.0,1.7,2.9
569,2,5.8,2.5,3.3,1.9,3.3,9.2,6.3
570,5,3.3,3.1,3.2,2.5,3.2,6.7,5.0
571,4,5.8,5.0,5.2,,5.2,,5.2
572,4,4.2,5.6,5.3,,5.3,,5.3
573,10,6.7,5.6,5.9,,5.9,,5.9
574,9,9.2,0.0,2.3,1.9,3.7,1.7,2.7
575,9,5.8,,1.5,1.9,3.0,,1.5
576,6,7.5,4.4,5.2,,5.2,,5.2
577,6,5.8,3.1,3.8,1.9,3.8,7.5,5.7
578,4,7.5,3.1,4.2,1.9,4.2,5.0,4.6
579,9,8.3,3.8,5.0,,5.0,,5.0
580,10,9.2,3.1,4.6,3.1,4.6,7.5,6.1
581,4,10.0,2.5,4.4,1.9,4.4,10.0,7.2
582,10,8.3,3.1,4.4,3.8,5.0,,5.0
583,10,9.2,2.5,4.2,4.4,5.6,,5.6
584,6,8.3,5.0,5.8,,5.8,,5.8
585,10,8.3,3.8,5.0,,5.0,,5.0
586,10,7.5,3.1,4.2,5.0,5.6,,5.6
587,10,7.5,1.9,3.3,4.4,5.2,,5.2
588,10,5.8,5.6,5.7,,5.7,,5.7
589,12,7.5,0.6,2.3,1.9,3.3,0.8,2.1
590,5,6.7,1.9,3.1,5.6,5.9,,5.9
591,2,3.3,3.1,3.2,5.0,4.6,6.7,5.7
592,4,,,0.0,,0.0,,0.0
593,9,4.2,2.5,2.9,2.5,3.0,,1.5
594,1,6.7,3.8,4.5,5.6,5.9,,5.9
595,3,9.2,7.5,7.9,,7.9,,7.9
596,1,5.0,3.1,3.6,,3.6,,1.8
597,4,9.2,6.9,7.5,,7.5,,7.5
598,1,,,0.0,,0.0,1.7,0.9
599,2,5.8,5.0,5.2,,5.2,,5.2
600,2,8.3,3.8,5.0,,5.0,,5.0
601,1,0.8,,0.2,,0.2,,0.1
602,4,2.5,0.6,1.1,1.3,1.6,,0.8
603,1,4.2,1.9,2.5,1.9,2.5,,1.3
604,8,3.3,2.5,2.7,1.9,2.7,,1.4
605,5,6.7,3.8,4.5,6.9,6.9,,6.9
606,12,3.3,1.9,2.3,1.9,2.3,,1.2
607,8,8.3,2.5,4.0,,4.0,,2.0
608,8,7.5,3.1,4.2,1.9,4.2,,2.1
609,12,4.2,2.5,2.9,1.3,3.0,2.5,2.8
610,11,5.8,3.1,3.8,5.6,5.7,,5.7
611,11,7.5,3.8,4.7,1.9,4.7,5.8,5.3
612,1,3.3,3.1,3.2,1.3,3.2,2.5,2.9
613,9,7.5,1.9,3.3,2.5,3.8,1.7,2.8
614,6,1.7,3.1,2.8,3.1,3.1,3.3,3.2
615,12,5.8,2.5,3.3,3.8,4.3,2.5,3.4
616,4,8.3,3.1,4.4,3.1,4.4,6.7,5.6
617,2,6.7,,1.7,3.1,4.0,,2.0
618,5,,,0.0,,0.0,,0.0
619,2,2.5,,0.6,,0.6,,0.3
620,3,5.8,3.8,4.3,2.5,4.3,2.5,3.4
621,7,1.7,,0.4,,0.4,,0.2
622,8,8.3,3.8,5.0,,5.0,,5.0
623,3,,3.8,2.9,,3.0,,1.5
624,5,,,0.0,,0.0,,0.0
625,11,8.3,1.3,3.1,2.5,4.0,,2.0
626,5,5.8,2.5,3.3,1.3,3.3,4.2,3.8
627,6,5.0,4.4,4.6,3.1,4.6,2.5,3.6
628,9,5.8,1.9,2.9,,3.0,3.3,3.2
629,12,7.5,1.9,3.3,,3.3,,1.7
630,8,6.7,5.6,5.9,,5.9,,5.9
631,12,5.8,0.6,1.9,3.1,3.8,5.8,4.8
632,2,5.8,1.3,2.4,2.5,3.3,1.7,2.5
633,3,6.7,3.8,4.5,1.3,4.5,2.5,3.5
634,7,6.7,3.1,4.0,2.5,4.0,,2.0
635,5,4.2,0.6,1.5,1.9,2.5,,1.3
636,11,4.2,1.3,2.0,2.5,3.0,3.3,3.2
637,6,6.7,3.8,4.5,3.1,4.5,1.7,3.1
638,3,5.0,1.3,2.2,2.5,3.1,,1.6
639,2,5.8,4.4,4.8,1.9,4.8,5.0,4.9
640,5,3.3,4.4,4.1,2.5,4.1,1.7,2.9
641,11,6.7,6.3,6.4,,6.4,,6.4
642,3,3.3,1.9,2.3,3.1,3.2,1.7,2.5
643,7,3.3,2.5,2.7,1.9,2.7,,1.4
644,11,3.3,,0.8,,0.8,,0.4
645,9,5.8,,1.5,0.6,1.9,,1.0
646,6,3.3,2.5,2.7,1.9,2.7,,1.4
647,9,6.7,1.9,3.1,1.9,3.1,5.8,4.5
648,6,3.3,3.1,3.2,3.1,3.2,3.3,3.3
649,9,6.7,2.5,3.6,1.9,3.6,5.0,4.3
650,10,9.2,2.5,4.2,2.5,4.2,3.3,3.8
651,9,8.3,2.5,4.0,3.1,4.4,3.3,3.9
652,9,6.7,5.0,5.4,,5.4,,5.4
653,6,10.0,0.6,3.0,1.9,3.9,1.7,2.8
654,10,7.5,1.9,3.3,3.1,4.2,3.3,3.8
655,10,8.3,2.5,4.0,3.1,4.4,7.5,6.0
656,12,8.3,4.4,5.4,,5.4,,5.4
657,7,6.7,5.6,5.9,,5.9,,5.9
658,8,4.2,3.1,3.4,3.8,3.9,4.2,4.1
659,1,7.5,3.1,4.2,2.5,4.2,5.8,5.0
660,1,5.8,3.1,3.8,2.5,3.8,3.3,3.6
661,7,6.7,6.9,6.9,,6.9,,6.9
662,11,10.0,3.8,5.4,,5.4,,5.4
663,2,5.8,6.9,6.6,,6.6,,6.6
664,12,7.5,5.0,5.6,,5.6,,5.6
665,9,7.5,0.6,2.3,2.5,3.8,2.5,3.2
666,9,5.8,,1.5,2.5,3.3,7.5,5.4
667,9,8.3,5.0,5.8,,5.8,,5.8
668,11,4.2,3.1,3.4,1.3,3.4,,1.7
669,3,7.5,3.8,4.7,,4.7,,2.4
670,12,6.7,2.5,3.6,6.3,6.4,,6.4
671,11,5.8,3.8,4.3,3.8,4.3,5.0,4.7
672,2,7.5,3.8,4.7,1.9,4.7,6.7,5.7
673,2,3.3,5.6,5.0,,5.0,,5.0
674,12,7.5,3.8,4.7,2.5,4.7,5.8,5.3
675,11,7.5,3.8,4.7,1.9,4.7,5.0,4.9
676,2,6.7,1.9,3.1,3.8,4.5,2.5,3.5
677,12,4.2,1.9,2.5,2.5,3.0,3.3,3.2
678,9,5.8,1.9,2.9,0.6,3.0,,1.5
679,9,5.0,3.8,4.1,,4.1,2.5,3.3
680,12,5.8,2.5,3.3,3.8,4.3,5.8,5.1
681,1,8.3,2.5,4.0,1.9,4.0,2.5,3.3
682,12,5.0,1.9,2.7,2.5,3.1,3.3,3.2
683,7,7.5,1.3,2.9,3.1,4.2,1.7,3.0
684,1,7.5,4.4,5.2,,5.2,,5.2
685,12,0.0,3.1,2.3,0.6,2.5,,1.3
686,13,,,0.0,,0.0,,0.0
687,3,3.3,1.3,1.8,0.0,1.8,,0.9
688,11,6.7,1.9,3.1,,3.1,,1.6
689,4,1.7,,0.4,,0.4,,0.2
690,3,8.3,1.3,3.1,1.3,3.1,2.5,2.8
691,11,6.7,1.9,3.1,1.9,3.1,5.0,4.1
692,2,4.2,3.1,3.4,3.8,3.9,4.2,4.1
693,6,8.3,1.9,3.5,1.3,3.5,7.5,5.5
694,6,7.5,1.9,3.3,1.9,3.3,2.5,2.9
695,2,7.5,7.5,7.5,,7.5,,7.5
696,3,9.2,6.9,7.5,,7.5,,7.5
697,2,6.7,3.8,4.5,3.1,4.5,8.3,6.4
698,3,8.3,5.0,5.8,,5.8,,5.8
699,3,5.0,2.5,3.1,,3.1,,1.6
700,2,5.8,5.0,5.2,,5.2,,5.2
701,9,6.7,4.4,5.0,,5.0,,5.0
702,1,7.5,9.4,8.9,,8.9,,8.9
703,9,7.5,5.0,5.6,,5.6,,5.6
704,4,7.5,4.4,5.2,,5.2,,5.2
705,11,6.7,3.1,4.0,4.4,5.0,,5.0
706,5,5.8,2.5,3.3,5.0,5.2,,5.2
707,10,,1.3,1.0,3.8,3.0,5.8,4.4
708,10,2.5,1.3,1.6,,1.6,,0.8
709,10,5.8,8.1,7.5,,7.5,,7.5
710,2,2.5,3.1,3.0,1.3,3.0,1.7,2.4
711,2,5.0,2.5,3.1,5.6,5.5,,5.5
712,6,5.8,6.3,6.2,,6.2,,6.2
713,5,5.8,1.3,2.4,,2.4,,1.2
714,9,5.0,2.5,3.1,1.9,3.1,1.7,2.4
715,6,9.2,1.9,3.7,,3.7,1.7,2.7
716,4,5.0,3.1,3.6,2.5,3.6,4.2,3.9
717,9,7.5,1.9,3.3,3.1,4.2,3.3,3.8
718,10,5.0,2.5,3.1,1.3,3.1,3.3,3.2
719,10,5.8,3.8,4.3,4.4,4.8,7.5,6.2
720,3,6.7,0.6,2.1,2.5,3.6,1.7,2.7
721,8,1.7,2.5,2.3,1.3,2.3,,1.2
722,6,9.2,1.9,3.7,,3.7,2.5,3.1
723,10,6.7,2.5,3.6,2.5,3.6,8.3,6.0
724,4,7.5,5.6,6.1,,6.1,,6.1
725,13,2.5,2.5,2.5,,2.5,,1.3
726,3,7.5,6.9,7.1,,7.1,,7.1
727,2,5.8,1.9,2.9,1.3,3.0,1.7,2.4
728,9,7.5,7.5,7.5,,7.5,,7.5
729,11,7.5,5.0,5.6,,5.6,,5.6
730,5,2.5,,0.6,,0.6,,0.3
731,4,5.8,3.1,3.8,3.1,3.8,,1.9
732,5,5.0,4.4,4.6,1.9,4.6,6.7,5.7
733,4,5.8,5.0,5.2,,5.2,,5.2
734,6,5.0,5.0,5.0,,5.0,,5.0
735,6,6.7,3.1,4.0,5.6,5.9,,5.9
736,10,7.5,1.3,2.9,2.5,3.8,3.3,3.6
737,9,10.0,5.0,6.3,,6.3,,6.3
738,10,5.8,5.6,5.7,,5.7,,5.7
739,10,9.2,3.1,4.6,2.5,4.6,8.3,6.5
740,3,5.8,1.3,2.4,3.8,4.3,2.5,3.4
741,3,5.0,0.0,1.3,1.3,2.2,,1.1
742,11,1.7,1.9,1.9,,1.9,,1.0
743,4,5.8,3.1,3.8,0.6,3.8,4.2,4.0
744,6,8.3,,2.1,1.9,3.5,,1.8
745,10,6.7,1.9,3.1,3.1,4.0,1.7,2.9
746,2,9.2,4.4,5.6,,5.6,,5.6
747,4,5.0,2.5,3.1,1.3,3.1,4.2,3.7
748,10,4.2,1.9,2.5,2.5,3.0,3.3,3.2
749,6,1.7,2.5,2.3,3.1,2.8,,1.4
750,6,4.2,3.1,3.4,2.5,3.4,1.7,2.6
751,7,5.8,3.8,4.3,5.6,5.7,,5.7
752,3,8.3,3.1,4.4,6.3,6.8,,6.8
753,12,7.5,5.0,5.6,,5.6,,5.6
754,7,6.7,3.8,4.5,4.4,5.0,,5.0
755,11,8.3,3.1,4.4,3.1,4.4,7.5,6.0
756,9,7.5,3.1,4.2,2.5,4.2,4.2,4.2
757,6,6.7,3.1,4.0,3.1,4.0,5.0,4.5
758,1,9.2,6.3,7.0,,7.0,,7.0
759,11,7.5,3.1,4.2,1.3,4.2,2.5,3.4
760,7,7.5,2.5,3.8,,3.8,,1.9
761,8,4.2,4.4,4.4,5.6,5.3,,5.3
762,4,0.8,3.1,2.5,2.5,3.0,4.2,3.6
763,10,7.5,2.5,3.8,4.4,5.2,,5.2
764,5,,,0.0,,0.0,,0.0
765,1,6.7,1.9,3.1,2.5,3.6,4.2,3.9
766,6,7.5,3.8,4.7,1.9,4.7,0.8,2.8
767,1,,,0.0,,0.0,,0.0
768,3,6.7,3.1,4.0,3.8,4.5,6.7,5.6
769,12,9.2,7.5,7.9,,7.9,,7.9
770,10,9.2,1.9,3.7,4.4,5.6,,5.6
771,2,9.2,5.0,6.1,,6.1,,6.1
772,5,9.2,8.8,8.9,,8.9,,8.9
773,9,6.7,2.5,3.6,3.1,4.0,9.2,6.6
774,6,6.7,1.9,3.1,3.1,4.0,3.3,3.7
775,8,9.2,5.0,6.1,,6.1,,6.1
776,6,5.8,,1.5,1.3,2.4,,1.2
777,9,8.3,2.5,4.0,2.5,4.0,3.3,3.7
778,6,7.5,5.0,5.6,,5.6,,5.6
779,1,,,0.0,,0.0,,0.0
780,9,3.3,4.4,4.1,,4.1,,2.1
781,9,6.7,3.1,4.0,7.5,7.3,,7.3
782,7,5.0,3.1,3.6,4.4,4.6,7.5,6.1
783,6,6.7,1.3,2.7,3.1,4.0,2.5,3.3
784,12,5.0,1.3,2.2,0.6,2.2,,1.1
785,6,5.8,1.9,2.9,,3.0,,1.5
786,12,5.8,5.6,5.7,,5.7,,5.7
787,10,8.3,1.3,3.1,3.1,4.4,1.7,3.1
788,5,8.3,6.3,6.8,,6.8,,6.8
789,13,3.3,3.1,3.2,3.1,3.2,3.3,3.3
790,5,8.3,5.6,6.3,,6.3,,6.3
791,5,8.3,3.1,4.4,2.5,4.4,2.5,3.5
792,4,7.5,3.1,4.2,3.8,4.7,8.3,6.5
793,8,6.7,3.8,4.5,5.0,5.4,,5.4
794,2,6.7,1.9,3.1,2.5,3.6,2.5,3.1
795,10,7.5,3.1,4.2,1.9,4.2,10.0,7.1
796,10,8.3,6.3,6.8,,6.8,,6.8
797,2,7.5,,1.9,2.5,3.8,,1.9
798,6,8.3,3.1,4.4,1.9,4.4,6.7,5.6
799,10,5.8,3.8,4.3,3.1,4.3,2.5,3.4
800,8,6.7,3.1,4.0,1.9,4.0,,2.0
801,8,5.8,3.8,4.3,3.8,4.3,,2.2
802,11,3.3,1.9,2.3,0.6,2.3,,1.2
803,4,8.3,1.9,3.5,3.1,4.4,7.5,6.0
804,7,2.5,4.4,3.9,3.8,4.3,8.3,6.3
805,6,6.7,1.9,3.1,,3.1,,1.6
806,9,,3.8,2.9,4.4,4.0,5.0,4.5
807,4,6.7,3.8,4.5,4.4,5.0,,5.0
808,4,6.7,3.1,4.0,1.3,4.0,,2.0
809,12,7.5,3.8,4.7,3.1,4.7,7.5,6.1
810,7,4.2,0.6,1.5,0.6,1.5,,0.8
811,2,7.5,0.6,2.3,1.3,3.0,2.5,2.8
812,11,6.7,3.1,4.0,5.0,5.4,,5.4
813,10,6.7,1.9,3.1,4.4,5.0,,5.0
814,2,9.2,4.4,5.6,,5.6,,5.6
815,1,5.8,5.0,5.2,,5.2,,5.2
816,4,5.0,3.1,3.6,2.5,3.6,4.2,3.9
817,2,8.3,2.5,4.0,4.4,5.4,,5.4
818,7,6.7,3.8,4.5,4.4,5.0,,5.0
819,2,8.3,5.0,5.8,,5.8,,5.8
820,5,5.8,1.3,2.4,1.3,2.4,,1.2
821,2,9.2,3.8,5.2,,5.2,,5.2
822,10,4.2,3.1,3.4,,3.4,,1.7
823,4,2.5,1.3,1.6,0.6,1.6,,0.8
824,11,0.8,,0.2,,0.2,,0.1
825,4,7.5,1.9,3.3,1.9,3.3,3.3,3.3
826,8,5.8,,1.5,,1.5,,0.8
827,9,8.3,3.8,5.0,,5.0,,5.0
828,4,4.2,3.1,3.4,1.9,3.4,,1.7
829,4,4.2,3.1,3.4,0.6,3.4,,1.7
830,4,5.8,4.4,4.8,1.9,4.8,2.5,3.7
831,10,6.7,8.1,7.8,,7.8,,7.8
832,8,7.5,2.5,3.8,2.5,3.8,,1.9
833,9,6.7,3.1,4.0,1.3,4.0,6.7,5.4
834,8,8.3,1.9,3.5,1.9,3.5,,1.8
835,8,7.5,4.4,5.2,,5.2,,5.2
836,1,6.7,3.1,4.0,2.5,4.0,6.7,5.4
837,10,7.5,0.6,2.3,1.9,3.3,,1.7
838,3,8.3,1.9,3.5,3.1,4.4,5.8,5.1
839,9,7.5,0.6,2.3,1.9,3.3,1.7,2.5
840,2,6.7,6.3,6.4,,6.4,,6.4
841,6,1.7,3.1,2.8,3.1,3.1,5.0,4.1
842,13,5.8,3.8,4.3,2.5,4.3,7.5,5.9
843,6,5.0,2.5,3.1,1.9,3.1,5.0,4.1
844,7,,,0.0,,0.0,,0.0
845,9,2.5,,0.6,,0.6,,0.3
846,4,7.5,0.6,2.3,3.8,4.7,4.2,4.5
847,5,5.0,,1.3,3.1,3.6,0.8,2.2
848,13,5.0,,1.3,,1.3,,0.7
849,8,7.5,6.9,7.1,,7.1,,7.1
850,13,6.7,0.0,1.7,1.9,3.1,,1.6
851,8,6.7,6.3,6.4,,6.4,,6.4
852,3,6.7,3.1,4.0,1.9,4.0,4.2,4.1
853,9,4.2,2.5,2.9,3.1,3.4,3.3,3.4
854,13,10.0,1.9,3.9,,3.9,,2.0
855,13,6.7,5.0,5.4,,5.4,,5.4
856,13,,,0.0,,0.0,,0.0
857,4,4.2,2.5,2.9,1.3,3.0,5.0,4.0
858,9,3.3,1.9,2.3,2.5,2.7,,1.4
859,3,5.0,3.8,4.1,0.6,4.1,3.3,3.7
860,13,2.5,1.9,2.1,5.0,4.4,,2.2
861,13,9.2,2.5,4.2,4.4,5.6,,5.6
862,8,2.5,2.5,2.5,2.5,2.5,,1.3
863,13,,4.4,3.3,0.6,3.5,3.3,3.4
864,9,7.5,3.1,4.2,1.3,4.2,,2.1